15	17
13	17
15	19
13	19
9	17
11	17
9	19
11	19
15	23
13	23
15	21
13	21
9	23
11	23
9	21
11	21
17	15
19	15
17	13
19	13
23	15
21	15
23	13
21	13
17	9
19	9
17	11
19	11
23	9
21	9
23	11
21	11
1	17
3	17
1	19
3	19
7	17
5	17
7	19
5	19
1	23
3	23
1	21
3	21
7	23
5	23
7	21
5	21
17	1
19	1
17	3
19	3
23	1
21	1
23	3
21	3
17	7
19	7
17	5
19	5
23	7
21	7
23	5
21	5
1	15
3	15
1	13
3	13
7	15
5	15
7	13
5	13
1	9
3	9
1	11
3	11
7	9
5	9
7	11
5	11
15	15
13	15
15	13
13	13
9	15
11	15
9	13
11	13
15	9
13	9
15	11
13	11
9	9
11	9
9	11
11	11
1	1
3	1
1	3
3	3
7	1
5	1
7	3
5	3
1	7
3	7
1	5
3	5
7	7
5	7
7	5
5	5
15	1
13	1
15	3
13	3
9	1
11	1
9	3
11	3
15	7
13	7
15	5
13	5
9	7
11	7
9	5
11	5
15	-17
13	-17
15	-19
13	-19
9	-17
11	-17
9	-19
11	-19
15	-23
13	-23
15	-21
13	-21
9	-23
11	-23
9	-21
11	-21
17	-15
19	-15
17	-13
19	-13
23	-15
21	-15
23	-13
21	-13
17	-9
19	-9
17	-11
19	-11
23	-9
21	-9
23	-11
21	-11
1	-17
3	-17
1	-19
3	-19
7	-17
5	-17
7	-19
5	-19
1	-23
3	-23
1	-21
3	-21
7	-23
5	-23
7	-21
5	-21
17	-1
19	-1
17	-3
19	-3
23	-1
21	-1
23	-3
21	-3
17	-7
19	-7
17	-5
19	-5
23	-7
21	-7
23	-5
21	-5
1	-15
3	-15
1	-13
3	-13
7	-15
5	-15
7	-13
5	-13
1	-9
3	-9
1	-11
3	-11
7	-9
5	-9
7	-11
5	-11
15	-15
13	-15
15	-13
13	-13
9	-15
11	-15
9	-13
11	-13
15	-9
13	-9
15	-11
13	-11
9	-9
11	-9
9	-11
11	-11
1	-1
3	-1
1	-3
3	-3
7	-1
5	-1
7	-3
5	-3
1	-7
3	-7
1	-5
3	-5
7	-7
5	-7
7	-5
5	-5
15	-1
13	-1
15	-3
13	-3
9	-1
11	-1
9	-3
11	-3
15	-7
13	-7
15	-5
13	-5
9	-7
11	-7
9	-5
11	-5
-15	17
-13	17
-15	19
-13	19
-9	17
-11	17
-9	19
-11	19
-15	23
-13	23
-15	21
-13	21
-9	23
-11	23
-9	21
-11	21
-17	15
-19	15
-17	13
-19	13
-23	15
-21	15
-23	13
-21	13
-17	9
-19	9
-17	11
-19	11
-23	9
-21	9
-23	11
-21	11
-1	17
-3	17
-1	19
-3	19
-7	17
-5	17
-7	19
-5	19
-1	23
-3	23
-1	21
-3	21
-7	23
-5	23
-7	21
-5	21
-17	1
-19	1
-17	3
-19	3
-23	1
-21	1
-23	3
-21	3
-17	7
-19	7
-17	5
-19	5
-23	7
-21	7
-23	5
-21	5
-1	15
-3	15
-1	13
-3	13
-7	15
-5	15
-7	13
-5	13
-1	9
-3	9
-1	11
-3	11
-7	9
-5	9
-7	11
-5	11
-15	15
-13	15
-15	13
-13	13
-9	15
-11	15
-9	13
-11	13
-15	9
-13	9
-15	11
-13	11
-9	9
-11	9
-9	11
-11	11
-1	1
-3	1
-1	3
-3	3
-7	1
-5	1
-7	3
-5	3
-1	7
-3	7
-1	5
-3	5
-7	7
-5	7
-7	5
-5	5
-15	1
-13	1
-15	3
-13	3
-9	1
-11	1
-9	3
-11	3
-15	7
-13	7
-15	5
-13	5
-9	7
-11	7
-9	5
-11	5
-15	-17
-13	-17
-15	-19
-13	-19
-9	-17
-11	-17
-9	-19
-11	-19
-15	-23
-13	-23
-15	-21
-13	-21
-9	-23
-11	-23
-9	-21
-11	-21
-17	-15
-19	-15
-17	-13
-19	-13
-23	-15
-21	-15
-23	-13
-21	-13
-17	-9
-19	-9
-17	-11
-19	-11
-23	-9
-21	-9
-23	-11
-21	-11
-1	-17
-3	-17
-1	-19
-3	-19
-7	-17
-5	-17
-7	-19
-5	-19
-1	-23
-3	-23
-1	-21
-3	-21
-7	-23
-5	-23
-7	-21
-5	-21
-17	-1
-19	-1
-17	-3
-19	-3
-23	-1
-21	-1
-23	-3
-21	-3
-17	-7
-19	-7
-17	-5
-19	-5
-23	-7
-21	-7
-23	-5
-21	-5
-1	-15
-3	-15
-1	-13
-3	-13
-7	-15
-5	-15
-7	-13
-5	-13
-1	-9
-3	-9
-1	-11
-3	-11
-7	-9
-5	-9
-7	-11
-5	-11
-15	-15
-13	-15
-15	-13
-13	-13
-9	-15
-11	-15
-9	-13
-11	-13
-15	-9
-13	-9
-15	-11
-13	-11
-9	-9
-11	-9
-9	-11
-11	-11
-1	-1
-3	-1
-1	-3
-3	-3
-7	-1
-5	-1
-7	-3
-5	-3
-1	-7
-3	-7
-1	-5
-3	-5
-7	-7
-5	-7
-7	-5
-5	-5
-15	-1
-13	-1
-15	-3
-13	-3
-9	-1
-11	-1
-9	-3
-11	-3
-15	-7
-13	-7
-15	-5
-13	-5
-9	-7
-11	-7
-9	-5
-11	-5
